datetime,Consumption,Solar Generation,Wind Generation,Hydropower Generation,Pump Hydro Generation,Combined Cycle Generation,Nuclear Generation,Total emissions (tCO2eq),tCO2/MWh,Electricity Price,Electricity Price 24h,Electricity Price 7d,Gas Price,Gas Price 24h,Gas Price 7d
1/8/2019 0:00,805391.7,16757.9,171527.7,55914.4,8632.8,120908.1,170577.3,221495.491,0.272,59.59,59.59,66.88,25.46,25.26,24.45
1/9/2019 0:00,804813.2,16267.5,240796.6,41528.8,2160.8,83088.1,170472.3,211748.418,0.25,54.09,59.59,61.74,26.26,25.46,24.87
1/10/2019 0:00,812677,17381.3,254571.2,49847.8,6312.5,100567,170458.8,198839.785,0.229,58.6,54.09,62.01,25.01,26.26,24.67
1/11/2019 0:00,824726.7,17521,208192.7,56627.6,5181.5,132320.7,170326.7,202390.528,0.236,60.84,58.6,67.2,25.83,25.01,26.07
1/12/2019 0:00,732330.3,16823.8,178126,32378.8,171,85428.6,170420.6,170297.863,0.23,67.18,60.84,71.68,24.84,25.83,25.21
1/13/2019 0:00,685968.7,16659,179078.2,36493.3,3610.4,72341.1,170055.1,164868.113,0.23,57.48,67.18,63.75,24.65,24.84,24.86
1/14/2019 0:00,797089.6,16963.2,176051.2,46252.1,1417.7,140301.3,170352.4,229900.038,0.275,60,57.48,59.59,25.73,24.65,25.26
1/15/2019 0:00,804682.5,15296.6,56366.1,71796.7,4996.3,194768.8,170324.9,265329.503,0.33,60,60,59.59,27.12,25.73,25.46
1/16/2019 0:00,807008.8,13647.2,55128,76225.3,3168.8,192815.7,170387.7,269859.051,0.332,70.16,60,54.09,27.94,27.12,26.26
1/17/2019 0:00,811027.4,9787.5,94843.7,62607,4504.7,161302.4,170529.2,258317.361,0.329,67.36,70.16,58.6,26.38,27.94,25.01
1/18/2019 0:00,810143.1,11674.2,91200.9,88660.9,8229.1,178078,165478.6,268388.116,0.325,68.1,67.36,60.84,27.04,26.38,25.83
1/19/2019 0:00,729728.9,8824.1,135401.3,61200.5,9.7,97326.3,145031.6,226088.16,0.308,70.16,68.1,67.18,25.77,27.04,24.84
1/20/2019 0:00,671297.3,12154.9,209097.3,35996.1,303.3,54980.6,144933.6,196938.189,0.272,66.69,70.16,57.48,25.03,25.77,24.65
1/21/2019 0:00,792099.8,17039,178700.9,74426.3,8799.8,133968.9,144909.6,242400.303,0.289,55.54,66.69,60,26.65,25.03,25.73
1/22/2019 0:00,826580.2,9877.3,237911.3,61342.8,968.5,126252.4,145299.4,237737.057,0.27,63.93,55.54,60,25.64,26.65,27.12
1/23/2019 0:00,817471.3,9267.4,372442.9,47150.1,2707.7,43826.2,153931.9,182886.674,0.204,51.57,63.93,70.16,24.45,25.64,27.94
1/24/2019 0:00,798266.3,11879,300862.6,54151.8,1155,93279.9,165306.5,206933.819,0.23,50.91,51.57,67.36,25.4,24.45,26.38
1/25/2019 0:00,778431.6,17195.2,234744.1,62931,2074.7,104131.1,170336.8,221082.979,0.25,52.39,50.91,68.1,24.87,25.4,27.04
1/26/2019 0:00,688116.1,19692.1,114726.7,58424.5,4359.3,64020.6,170581.2,185917.164,0.267,60.73,52.39,70.16,24.38,24.87,25.77
1/27/2019 0:00,645530.6,17153.7,291570.3,45617.6,7196.2,19457.4,170654.9,92041.414,0.127,57.04,60.73,66.69,23.87,24.38,25.03
1/28/2019 0:00,771646.4,16043.8,316299.5,60495.8,11320.8,47741.7,170709.1,133342.816,0.161,45.33,57.04,55.54,23.52,23.87,26.65
1/29/2019 0:00,790342.9,9861.1,298816.1,60606.1,3042.5,88868.3,170724.9,158911.925,0.185,55,45.33,63.93,23.75,23.52,25.64
1/30/2019 0:00,790628,13218.3,271814.7,66438.1,8867.4,90966.9,170696.1,164630.721,0.193,48.51,55,51.57,24.2,23.75,24.45
1/31/2019 0:00,784016.6,7959.7,357716.1,66142.3,5439.5,37518,170668.8,130644.605,0.15,48.08,48.51,50.91,23.23,24.2,25.4
2/1/2019 0:00,771495.9,12877.4,355902.3,74747.8,14290.9,34024.8,170686.1,112982.862,0.132,47.07,48.08,52.39,21.6,23.23,24.87
2/2/2019 0:00,707149.8,17314,335199.2,78248.9,14073,28015.1,170687.3,95267.285,0.119,42.87,47.07,60.73,20.8,21.6,24.38
2/3/2019 0:00,665658.6,20347.9,231849.3,81273.1,4063.3,45229.8,170702.8,105530.299,0.142,46.39,42.87,57.04,20.97,20.8,23.87
2/4/2019 0:00,789509.4,19262,146037.3,96524.7,5033.6,130422.9,170699.5,198460.709,0.238,48.57,46.39,45.33,23.93,20.97,23.52
2/5/2019 0:00,788776.1,20807.7,93647.9,96381.6,3957.5,136817.5,170668.1,229509.441,0.281,58.3,48.57,55,22.97,23.93,23.75
2/6/2019 0:00,775034.4,20797.5,71766.3,86352.1,1368.2,136913.9,170643.6,226454.682,0.291,63.25,58.3,48.51,22.51,22.97,24.2
2/7/2019 0:00,765595.1,20766.4,86757.1,83335.1,9395.1,126998.9,170663.6,200879.203,0.263,52.91,63.25,48.08,22.08,22.51,23.23
2/8/2019 0:00,756377.5,22409,130418,76587.5,5916.6,100915.7,170735.7,181949.16,0.238,65,52.91,47.07,21.88,22.08,21.6
2/9/2019 0:00,678593.2,19661.4,149681.3,69441.6,5018.2,55823.9,170747,125247.232,0.182,60.02,65,42.87,20.86,21.88,20.8
2/10/2019 0:00,636300.2,13754.6,243119.8,63194.6,10113.5,23016.4,170859.1,93751.38,0.133,41.72,60.02,46.39,20.64,20.86,20.97
2/11/2019 0:00,743442.3,17588.6,132585.7,69651.1,3322.3,124205.1,170713,162524.958,0.218,45.1,41.72,48.57,21.18,20.64,23.93
2/12/2019 0:00,761405.1,21119,78274.8,77844.8,5491.5,145294.6,170882.9,188996.526,0.255,62.65,45.1,58.3,20.81,21.18,22.97
